feature_A,feature_B,class
1.2250643969006787,-0.9204436781719731,1
0.4107171226845687,0.7864080488626596,0
-0.713500971344708,0.3157488826695457,0
1.1835086308194467,0.9268687594742604,0
-0.9990547913546824,0.22403842693707154,0
0.1655894074066369,0.9946368372310319,0
0.3043546899793422,-0.1590980733603849,1
1.1836584424423764,0.2941447996805946,1
0.6428767650968026,-0.21396906997045662,1
0.11845936989914194,1.1756957969201465,0
0.1358618028953481,0.2837267631695693,1
1.059456506598094,0.8864431700259755,0
1.3350514737518533,-0.21911030864147385,1
1.7921687992303033,-0.37897031388952274,1
1.215254951311948,-0.24462875245014576,1
-0.05543402033783219,-0.3484989457062072,1
-0.0004986884985029028,0.8286389260576926,0
1.1674924229318628,-0.23684373026345398,1
-0.7464443652342574,-0.16353105247669456,0
-0.650867390352939,-0.08871051705639832,0
-0.3101333171557569,0.671584527445209,0
0.7463870609753152,0.9237895661892311,0
0.7065894952516752,0.6449757292648042,0
0.18018765984121238,0.9201128201444693,0
1.4988601501355467,-0.18237148077644033,1
1.2223010885670742,0.509959353607191,0
-0.5380768461105412,0.1412540081913059,1
-0.6508487834251451,0.8273135875179675,0
-0.09831007858670947,0.3922991045564448,1
0.5456852879753671,0.20574678656186374,1
0.9537262586928545,-0.7629799819994484,0
0.7495716964439907,0.012705565196420632,1
0.9259153298360179,0.8361370139626239,0
0.22054121449715608,1.052350081253144,0
0.08765601103945442,-0.4983236815769937,1
0.9024573817734598,0.4724070995418788,0
0.6132155986324482,0.33325017585035843,0
0.11368100300309006,1.0664173190103796,0
0.010148423350291869,-0.36534636802545606,1
1.7293616646871977,0.2556832592067722,1
-0.24617786114497953,0.48605312975261256,0
1.480177174390182,0.4546011699397829,0
0.976930632082944,-0.8159179469376131,1
0.026242165416062353,0.1916186252236497,1
0.08566104508292392,0.2658665061254415,1
0.3761269269115148,-0.6021268417601353,1
0.249894530989054,-0.24794313426973263,1
0.20266091558991373,0.7310000174734569,0
-0.03683363835886937,0.5468163922090801,1
1.7656759911075532,-0.1930740226645125,1
2.0675315558734524,0.3927290422609826,1
0.47713348837283553,0.1612832915893911,1
-1.456906933551859,0.37083748472880906,0
1.0042206832930005,-0.39929668320553524,1
0.17754428182824358,0.22940811974052439,1
0.9793150667022477,-0.5406398452494403,1
0.4883811569254459,0.9383341107488103,0
0.9562349279975103,1.1280973927598916,0
0.3760073127058125,0.3960304449295352,1
-1.0794732402839458,0.6175423911446456,0
-1.7167154147594221,0.7722892419039995,0
0.5938335424790229,-0.4066998142670253,1
0.6347828879690893,1.035904789211961,0
